seed,tot_withinss,betweenss,totss,ratio
1,25623346.163358714,45540367.83665611,71163714.00001483,0.6399380425345229
2,21775511.949638046,49388202.05037678,71163714.00001483,0.6940082139384475
3,23536382.553062063,47627331.44695276,71163714.00001483,0.6692642748654579
4,26366520.42908576,44797193.570929065,71163714.00001483,0.6294948795241312
5,25312860.074171904,45850853.925842926,71163714.00001483,0.6443010257423238
6,27180292.94119443,43983421.0588204,71163714.00001483,0.6180596625242358
7,26585535.097518254,44578178.90249658,71163714.00001483,0.6264172623492822
8,24138705.762168944,47025008.23784588,71163714.00001483,0.6608003657290299
9,23981944.673073944,47181769.32694088,71163714.00001483,0.6630031890540599
10,26931330.668657463,44232383.33135736,71163714.00001483,0.6215581065843211
